Rank,Opposition.Rank,Location,Losses,Draws,Wins,Games,pi_Loss,pi_Draw,pi_Win,Strata
7,15,0,4,9,6,19,0.21052631578947367,0.47368421052631576,0.3157894736842105,"(6,20]"
7,15,1,5,3,11,19,0.2631578947368421,0.15789473684210525,0.5789473684210527,"(6,20]"
7,16,0,7,8,4,19,0.3684210526315789,0.42105263157894735,0.21052631578947367,"(6,20]"
7,16,1,0,7,12,19,0,0.3684210526315789,0.631578947368421,"(6,20]"
7,17,0,7,5,7,19,0.3684210526315789,0.2631578947368421,0.3684210526315789,"(6,20]"
7,17,1,2,5,12,19,0.10526315789473684,0.2631578947368421,0.631578947368421,"(6,20]"
7,18,0,9,4,6,19,0.47368421052631576,0.21052631578947367,0.3157894736842105,"(6,20]"
7,18,1,2,5,12,19,0.10526315789473684,0.2631578947368421,0.631578947368421,"(6,20]"
7,19,0,7,6,6,19,0.3684210526315789,0.3157894736842105,0.3157894736842105,"(6,20]"
7,19,1,6,2,11,19,0.3157894736842105,0.10526315789473684,0.5789473684210527,"(6,20]"
7,20,0,5,6,8,19,0.2631578947368421,0.3157894736842105,0.42105263157894735,"(6,20]"
7,20,1,6,2,11,19,0.3157894736842105,0.10526315789473684,0.5789473684210527,"(6,20]"
8,9,0,9,0,10,19,0.47368421052631576,0,0.5263157894736842,"(6,20]"
8,9,1,7,2,10,19,0.3684210526315789,0.10526315789473684,0.5263157894736842,"(6,20]"
8,10,0,5,6,8,19,0.2631578947368421,0.3157894736842105,0.42105263157894735,"(6,20]"
8,10,1,4,2,13,19,0.21052631578947367,0.10526315789473684,0.6842105263157895,"(6,20]"
8,11,0,7,8,4,19,0.3684210526315789,0.42105263157894735,0.21052631578947367,"(6,20]"
8,11,1,6,5,8,19,0.3157894736842105,0.2631578947368421,0.42105263157894735,"(6,20]"
8,12,0,3,6,10,19,0.15789473684210525,0.3157894736842105,0.5263157894736842,"(6,20]"
8,12,1,4,6,9,19,0.21052631578947367,0.3157894736842105,0.47368421052631576,"(6,20]"
8,13,0,8,9,2,19,0.42105263157894735,0.47368421052631576,0.10526315789473684,"(6,20]"
8,13,1,5,5,9,19,0.2631578947368421,0.2631578947368421,0.47368421052631576,"(6,20]"
8,14,0,15,0,4,19,0.7894736842105263,0,0.21052631578947367,"(6,20]"
8,14,1,4,5,10,19,0.21052631578947367,0.2631578947368421,0.5263157894736842,"(6,20]"
8,15,0,7,6,6,19,0.3684210526315789,0.3157894736842105,0.3157894736842105,"(6,20]"
8,15,1,3,8,8,19,0.15789473684210525,0.42105263157894735,0.42105263157894735,"(6,20]"
8,16,0,9,2,8,19,0.47368421052631576,0.10526315789473684,0.42105263157894735,"(6,20]"
8,16,1,5,4,10,19,0.2631578947368421,0.21052631578947367,0.5263157894736842,"(6,20]"
8,17,0,9,6,4,19,0.47368421052631576,0.3157894736842105,0.21052631578947367,"(6,20]"
8,17,1,3,5,11,19,0.15789473684210525,0.2631578947368421,0.5789473684210527,"(6,20]"
8,18,0,10,5,4,19,0.5263157894736842,0.2631578947368421,0.21052631578947367,"(6,20]"
8,18,1,4,3,12,19,0.21052631578947367,0.15789473684210525,0.631578947368421,"(6,20]"
8,19,0,10,8,1,19,0.5263157894736842,0.42105263157894735,0.05263157894736842,"(6,20]"
8,19,1,4,4,11,19,0.21052631578947367,0.21052631578947367,0.5789473684210527,"(6,20]"
8,20,0,8,4,7,19,0.42105263157894735,0.21052631578947367,0.3684210526315789,"(6,20]"
8,20,1,5,2,12,19,0.2631578947368421,0.10526315789473684,0.631578947368421,"(6,20]"
9,10,0,6,6,7,19,0.3157894736842105,0.3157894736842105,0.3684210526315789,"(6,20]"
9,10,1,6,7,6,19,0.3157894736842105,0.3684210526315789,0.3157894736842105,"(6,20]"
9,11,0,8,6,5,19,0.42105263157894735,0.3157894736842105,0.2631578947368421,"(6,20]"
9,11,1,6,2,11,19,0.3157894736842105,0.10526315789473684,0.5789473684210527,"(6,20]"
9,12,0,7,6,6,19,0.3684210526315789,0.3157894736842105,0.3157894736842105,"(6,20]"
9,12,1,5,5,9,19,0.2631578947368421,0.2631578947368421,0.47368421052631576,"(6,20]"
9,13,0,11,7,1,19,0.5789473684210527,0.3684210526315789,0.05263157894736842,"(6,20]"
9,13,1,4,9,6,19,0.21052631578947367,0.47368421052631576,0.3157894736842105,"(6,20]"
9,14,0,10,5,4,19,0.5263157894736842,0.2631578947368421,0.21052631578947367,"(6,20]"
9,14,1,3,7,9,19,0.15789473684210525,0.3684210526315789,0.47368421052631576,"(6,20]"
9,15,0,7,6,6,19,0.3684210526315789,0.3157894736842105,0.3157894736842105,"(6,20]"
9,15,1,5,7,7,19,0.2631578947368421,0.3684210526315789,0.3684210526315789,"(6,20]"
9,16,0,5,7,7,19,0.2631578947368421,0.3684210526315789,0.3684210526315789,"(6,20]"
9,16,1,3,5,11,19,0.15789473684210525,0.2631578947368421,0.5789473684210527,"(6,20]"
9,17,0,6,6,7,19,0.3157894736842105,0.3157894736842105,0.3684210526315789,"(6,20]"
9,17,1,3,4,12,19,0.15789473684210525,0.21052631578947367,0.631578947368421,"(6,20]"
9,18,0,7,8,4,19,0.3684210526315789,0.42105263157894735,0.21052631578947367,"(6,20]"
9,18,1,7,5,7,19,0.3684210526315789,0.2631578947368421,0.3684210526315789,"(6,20]"
9,19,0,8,7,4,19,0.42105263157894735,0.3684210526315789,0.21052631578947367,"(6,20]"
9,19,1,5,4,10,19,0.2631578947368421,0.21052631578947367,0.5263157894736842,"(6,20]"
9,20,0,5,9,5,19,0.2631578947368421,0.47368421052631576,0.2631578947368421,"(6,20]"
9,20,1,5,6,8,19,0.2631578947368421,0.3157894736842105,0.42105263157894735,"(6,20]"
10,11,0,11,7,1,19,0.5789473684210527,0.3684210526315789,0.05263157894736842,"(6,20]"
